ItemID,Author,Genre,PubYear
4005383372515,Cecily Bemlott,Dystopian  ,2001
4075482286132,Mill Lots,Paranormal  ,2011
4271224941574,Webb Lawlie,Literary Fiction  ,2008
4318801097754,Kaela Igo,Mystery  ,2007
4572978567440,Nelie Bleakman,Fantasy  ,2010
4677199637782,Random Author 1,Fiction,2021
340108386021429,Random Author 2,Mystery,2020
340650926418121,Alex Selman,Mystery  ,2012
341649294642295,Random Author 3,Science Fiction,2019
342212465113615,Noelani Cluer,Dystopian  ,1995
344049291053328,Random Author 4,Historical,2022
344679237233875,Johny Getsham,Graphic Novel  ,1998
345768079942541,Sly Soans,Horror  ,2011
348387027107323,Nady Shorland,Young Adult  ,2004
370567932669295,Random Author 5,Fantasy,2021
373377531281616,Brooke Glazyer,Graphic Novel  ,2001
373987461974889,Lorelei Piwell,Historical Fiction  ,2000
375579485277257,Melessa Stotherfield,Classic  ,1990
376926633861699,Georgina Sindall,Romance  ,1992
378935911713863,Markos Rabbe,Graphic Novel  ,1998
4066026457822615,Random Author 6,Thriller,2020
4157552767062824,Tory Nowell,Young Adult  ,2008
4526845129797127,Random Author 7,Romance,2019
4655711671912550,Petrina Peever,Literary Fiction  ,1994
4873412851247794,Random Author 8,Adventure,2022
4896574243113555,Bette McComiskey,Historical Fiction  ,2009
5109157297917434,Random Author 9,Biography,2020
5203278383147531,Sammie Blesli,Young Adult  ,2010
5304561818991187,Random Author 10,Non-fiction,2021
5306188932014361,Random Author 11,Drama,2020
5333835480439054,Patrick Lillow,Romance  ,1999
5364418555721334,Random Author 12,Young Adult,2022
5473724526011400,Random Author 13,Fantasy,2019
5478550748684764,Karel Jewess,Literary Fiction  ,2003
5557020443410455,Osgood Bouller,Dystopian  ,1993
5577177952256905,Random Author 14,Dystopian,2021
5591083134437250,Random Author 15,Crime,2020
601322613432449508,Barton Vallack,Crime  ,2001
606597417365732196,Malissa Smallcomb,Horror  ,2002
607815377153601793,Catherine Curnow,Adventure  ,2003
610589711124547552,Random Author 16,Mystery,2022
610688152683505451,Random Author 17,Romance,2020
612413388825907167,Random Author 18,Fiction,2021
612689085527704572,Pietrek Simcock,Science Fiction  ,2005
613684705583248999,Delora Cisson,Historical Fiction  ,2007
613856274553966918,Random Author 19,Adventure,2019
614148886370737952,Random Author 20,Historical,2022
616491866622548603,Caro Shelper,Fantasy  ,1996
616507995078888106,Random Author 21,Science Fiction,2021
617892118968326894,Shelley Thirlwell,Literary Fiction  ,1997
