ItemID,MediaType,Creator
4177629731163,CD,Alex Johnson
4707350781583,DVD,Taylor Brooks
341316749851802,Movie,Jordan Rivera
341888613444090,Video Game,Casey Morgan
342595629768639,Audiobook,Riley Bennett
344506483047594,DVD,Federico Starkie
374942930505785,CD,Cameron Price
375206806454615,CD,Dewie Goddman
377434522929599,DVD,Hayden Scott
379123436856840,Audiobook,Minne Brech
4027806687352030,Movie,Peyton Carter
4369865887524570,Video Game,Quinn Simmons
4544566281300371,Audiobook,Reese Armstrong
4585173843216201,CD,Jordan Nguyen
4744868971409142,DVD,De Erington
5120085085213978,Movie,Pen Mowles
5132701528932166,DVD,Morgan Blake
5151357605498005,Movie,Rufus Laingmaid
5253437748129191,DVD,Kai Magnay
5314976393902987,Movie,Logan Pierce
5319954808750148,Video Game,Parker Sullivan
5339797658943966,CD,Glynda Rentcome
5369604207022388,Audiobook,Sawyer West
5380600346632801,Video Game,Felisha Cobbled
5462775977101333,DVD,Marie-ann Mcasparan
5479122918908495,Video Game,Harmonie Bilbrook
611940013632985529,CD,Finley Cross
615865578099736492,DVD,Dakota Ellis
616755557690594915,Movie,Skyler Monroe
617326934729945558,Audiobook,Harper Lane
