ItemID,Title,Availability,ItemType
4005383372515,The Twilight Saga,Available,Book
4075482286132,Beneath the Blood Moon,Reserved,Book
4177629731163,The Media Revolution,Reserved,Digital Media
4271224941574,Beyond the Veil,Available,Book
4318801097754,In the Shadow of the Mountain,Reserved,Book
4572978567440,A World Apart,Available,Book
4607262778345,Style Chronicles,Available,Magazine
4677199637782,Whispers of the Wind,Available,Book
4707350781583,World of Tech,Available,Digital Media
4970217494564,Time Out,Available,Magazine
340108386021429,Dreams of Tomorrow,Available,Book
340650926418121,Tales of the Forgotten,Available,Book
341276731963019,World Affairs,Available,Magazine
341316749851802,The Soundscape,Reserved,Digital Media
341348913643079,The Gourmet Guide,Available,Magazine
341649294642295,Lost and Found,Available,Book
341888613444090,Digital Horizons,Reserved,Digital Media
342212465113615,The Hidden Truth,Available,Book
342595629768639,Virtual Escape,Reserved,Digital Media
344049291053328,The Hidden Garden,Reserved,Book
344506483047594,The Digital Awakening,Available,Digital Media
344679237233875,The Ivory Tower,Reserved,Book
345768079942541,Moonlit Memories,Reserved,Book
348387027107323,Flames of Rebellion,Reserved,Book
370567932669295,A Touch of Magic,Reserved,Book
373377531281616,Secrets of the Forgotten,Available,Book
373987461974889,The Last Horizon,Reserved,Book
374942930505785,Tech Frontiers,Available,Digital Media
375089867501319,The Visionary,Available,Magazine
375206806454615,Virtual Voyage,Available,Digital Media
375579485277257,Forbidden Path,Available,Book
376926633861699,Journey Through Time,Available,Book
377434522929599,Digital Overload,Available,Digital Media
378935911713863,Voices in the Dark,Available,Book
379123436856840,Digital Diaries,Reserved,Digital Media
4027806687352030,The Tech Odyssey,Reserved,Digital Media
4066026457822615,The Forgotten Kingdom,Available,Book
4157552767062824,The Scarlet Dawn,Available,Book
4257599750999388,Urban Living,Reserved,Magazine
4285672507316051,The Monthly Review,Reserved,Magazine
4369865887524570,Digital Realms,Available,Digital Media
4405479546156455,Future Visions,Available,Magazine
4526845129797127,Chronicles of the Unknown,Available,Book
4544566281300371,New Wave Digital,Available,Digital Media
4585173843216201,Gaming Revolution,Reserved,Digital Media
4655711671912550,Beneath the Stars,Available,Book
4744868971409142,Cyber Chronicles,Available,Digital Media
4809205974640948,The Fashion Forward,Available,Magazine
4873412851247794,Across the Ocean,Available,Book
4896574243113555,The Path to Glory,Available,Book
5109157297917434,Broken Promises,Reserved,Book
5120085085213978,Virtual Reality,Available,Digital Media
5132701528932166,The Music Vault,Available,Digital Media
5151357605498005,Pixel Dreams,Available,Digital Media
5157500757411409,The Green World,Available,Magazine
5180118089284724,Innovators,Available,Magazine
5203278383147531,The Glass Castle,Available,Book
5253437748129191,The Future of Media,Available,Digital Media
5279567886786202,The Art Journal,Available,Magazine
5280952728249576,Cultural Lens,Reserved,Magazine
5304561818991187,Echoes of Silence,Reserved,Book
5306188932014361,The Sapphire Sea,Available,Book
5314976393902987,The Sound Wave,Reserved,Digital Media
5319954808750148,Into the Matrix,Available,Digital Media
5333835480439054,Winds of Change,Available,Book
5339797658943966,The Digital Frontier,Available,Digital Media
5364418555721334,The Great Adventure,Available,Book
5369604207022388,Cyber Adventures,Available,Digital Media
5380600346632801,Virtual Arena,Reserved,Digital Media
5462775977101333,The Codebreakers,Reserved,Digital Media
5473724526011400,Lost Horizons,Reserved,Book
5478550748684764,The Silent Echo,Available,Book
5479122918908495,The Cyber Universe,Available,Digital Media
5518194732932400,The Collector's Digest,Reserved,Magazine
5524266640367689,Digital Trends,Reserved,Magazine
5557020443410455,Shadows in the Snow,Available,Book
5577177952256905,A Dance with Fate,Available,Book
5591083134437250,The Crimson Horizon,Available,Book
601322613432449508,Through the Mist,Available,Book
602389821564514456,Adventure Seekers,Reserved,Magazine
604993258452733407,Tech Connect,Available,Magazine
606597417365732196,The Emerald City,Available,Book
607815377153601793,The Final Hour,Reserved,Book
610589711124547552,The Last Promise,Reserved,Book
610688152683505451,The Enchanted Meadow,Reserved,Book
611940013632985529,Pixelated World,Available,Digital Media
612413388825907167,The Alchemist’s Secret,Reserved,Book
612689085527704572,Lost Souls,Available,Book
613684705583248999,The Edge of Reality,Available,Book
613856274553966918,Shadows of the Past,Available,Book
614148886370737952,The Silver Phoenix,Reserved,Book
615275056487440492,Global Insights,Available,Magazine
615865578099736492,The Pixel Revolution,Reserved,Digital Media
616491866622548603,The Silent Forest,Reserved,Book
616507995078888106,Beneath the Surface,Available,Book
616755557690594915,The Digital Empire,Available,Digital Media
617151907212232460,The Creative Mind,Reserved,Magazine
617326934729945558,The Streaming Age,Available,Digital Media
617892118968326894,Heart of the Ocean,Reserved,Book
619950363365007664,Lifestyle Monthly,Available,Magazine
