ItemID,Title,IssueNumber,PublicationDate,Status
4285672507316051,The Monthly Review,52,2007,Reserved
5524266640367689,Digital Trends,51,2006,Reserved
615275056487440492,Global Insights,39,2001,Available
617151907212232460,The Creative Mind,1,1998,Available
602389821564514456,Adventure Seekers,51,1991,Available
4809205974640948,The Fashion Forward,9,2002,Available
5280952728249576,Cultural Lens,19,2008,Reserved
5157500757411409,The Green World,5,1996,Available
4257599750999388,Urban Living,52,2008,Reserved
4405479546156455,Future Visions,16,2002,Available
4970217494564,Time Out,6,1992,Available
604993258452733407,Tech Connect,10,1985,Available
341348913643079,The Gourmet Guide,21,2010,Available
4607262778345,Style Chronicles,28,1986,Available
375089867501319,The Visionary,9,2002,Available
619950363365007664,Lifestyle Monthly,4,2008,Available
5279567886786202,The Art Journal,41,2009,Available
5180118089284724,Innovators,52,1997,Available
341276731963019,World Affairs,15,1996,Available
5518194732932400,The Collector's Digest,9,2004,Available
